time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,,avg_bid_order_size,avg_ask_order_size,,bid_vwap,Bid Vwap change,ask_vwap,ask vwap change,bid_50pct_level,ask_50pct_level,order ratio,OIMBR,Bids Avg value,Ask avg value,ratio
15:21:41,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,107850,107175,412,523,1.0063,8%,261.77,204.92,1.277425337,25928.77,8%,25989.85,0%,119,99,0.787762906,1.277414806,279.6417845,278.5462174,1.003933161
15:21:41,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,110475,105450,425,521,1.0477,4%,259.94,202.4,1.284288538,25929,1%,25988.98,-3%,115,97,0.815738964,1.284356941,286.4506275,274.0537941,1.045235037
15:21:41,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,111075,105675,432,522,1.0511,0%,257.12,202.44,1.270104722,25929.65,3%,25988.96,0%,117,95,0.827586207,1.270079167,288.0135874,274.6383348,1.048701331
15:21:42,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,110925,105450,430,521,1.0519,0%,257.97,202.4,1.274555336,25929.83,1%,25989.02,0%,119,96,0.825335893,1.274511395,287.6266393,274.0542159,1.049524593
15:21:42,49543,NIFTY DEC 2025 FUT,25961.1,25961.2,0.1,111225,105000,431,516,1.0593,1%,258.06,203.49,1.268170426,25929.86,0%,25989.08,0%,118,98,0.835271318,1.268210673,288.4048679,272.88534,1.056871974
15:21:42,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,111225,104250,432,513,1.0669,1%,257.47,203.22,1.266952072,25929.7,-1%,25989.29,1%,116,97,0.842105263,1.26694375,288.4030883,270.9383483,1.0644602
15:21:42,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,111675,104250,438,513,1.0712,0%,254.97,203.22,1.254650133,25929.62,0%,25989.29,0%,114,97,0.85380117,1.254624658,289.5690314,270.9383483,1.068763552
15:21:43,49543,NIFTY DEC 2025 FUT,25961,25961.1,0.1,111075,104250,429,513,1.0655,-1%,258.92,203.22,1.274087196,25929.87,1%,25989.29,0%,119,97,0.83625731,1.274129371,288.016031,270.9383483,1.063031619
15:21:43,49543,NIFTY DEC 2025 FUT,25961,25961.1,0.1,111075,103950,429,510,1.0685,0%,258.92,203.82,1.270336571,25929.88,0%,25989.52,1%,119,98,0.841176471,1.270244755,288.0161421,270.1610604,1.066090508
15:21:43,49543,NIFTY DEC 2025 FUT,25961,25961.2,0.2,111600,103500,435,505,1.0783,1%,256.55,204.95,1.251768724,25929.79,0%,25989.5,0%,115,100,0.861386139,1.25181954,289.3764564,268.991325,1.075783602
