time_ist,security_id,instrument_name,best_bid,best_ask,spread,total_bid_qty,total_ask_qty,total_bid_orders,total_ask_orders,imbalance_ratio,avg_bid_order_size,avg_ask_order_size,bid_vwap,ask_vwap,bid_50pct_level,ask_50pct_level
2025-12-29 14:17:39.409740,49543,NIFTY DEC 2025 FUT,25942.5,25945.0,2.5,108750,108975,472,510,0.9979,230.4,213.68,25915.75,25979.53,120,117
2025-12-29 14:17:39.609974,49543,NIFTY DEC 2025 FUT,25942.5,25945.0,2.5,108150,115650,467,547,0.9351,231.58,211.43,25915.58,25981.46,119,117
2025-12-29 14:17:39.809952,49543,NIFTY DEC 2025 FUT,25942.5,25944.8,2.3,108675,117600,475,554,0.9241,228.79,212.27,25915.17,25980.23,116,115
2025-12-29 14:17:40.210105,49543,NIFTY DEC 2025 FUT,25942.5,25944.8,2.3,108825,113100,475,542,0.9622,229.11,208.67,25915.51,25978.14,117,113
2025-12-29 14:17:40.409430,49543,NIFTY DEC 2025 FUT,25942.5,25942.6,0.1,107625,112800,477,538,0.9541,225.63,209.67,25915.04,25977.91,114,114
2025-12-29 14:17:40.609810,49543,NIFTY DEC 2025 FUT,25942.5,25942.6,0.1,108600,117675,478,555,0.9229,227.2,212.03,25915.22,25979.9,116,115
2025-12-29 14:17:40.809782,49543,NIFTY DEC 2025 FUT,25942.5,25942.6,0.1,108600,113175,478,543,0.9596,227.2,208.43,25915.22,25978.15,116,111
2025-12-29 14:17:41.009280,49543,NIFTY DEC 2025 FUT,25942.5,25942.6,0.1,108150,113250,472,544,0.955,229.13,208.18,25915.43,25978.18,118,111
2025-12-29 14:17:41.410819,49543,NIFTY DEC 2025 FUT,25942.5,25942.6,0.1,108600,111000,477,533,0.9784,227.67,208.26,25915.43,25981.61,117,119
2025-12-29 14:17:41.610233,49543,NIFTY DEC 2025 FUT,25942.5,25942.6,0.1,108600,116175,477,546,0.9348,227.67,212.77,25915.43,25980.43,117,119
2025-12-29 14:17:41.810280,49543,NIFTY DEC 2025 FUT,25942.5,25942.6,0.1,108900,116550,481,549,0.9344,226.4,212.3,25915.3,25980.32,117,119
2025-12-29 14:17:42.009623,49543,NIFTY DEC 2025 FUT,25942.5,25944.9,2.4,108900,112125,482,538,0.9712,225.93,208.41,25915.2,25978.51,116,112
2025-12-29 14:17:42.210781,49543,NIFTY DEC 2025 FUT,25942.5,25944.9,2.4,109125,111750,484,533,0.9765,225.46,209.66,25915.25,25978.36,115,113
2025-12-29 14:17:42.614155,49543,NIFTY DEC 2025 FUT,25942.5,25944.9,2.4,108900,108675,480,522,1.0021,226.88,208.19,25915.52,25977.71,117,114
2025-12-29 14:17:42.811492,49543,NIFTY DEC 2025 FUT,25942.5,25944.9,2.4,108750,111375,478,530,0.9764,227.51,210.14,25915.6,25978.58,118,113
2025-12-29 14:17:43.011373,49543,NIFTY DEC 2025 FUT,25942.5,25944.9,2.4,108525,111375,475,533,0.9744,228.47,208.96,25915.71,25979.1,120,112
2025-12-29 14:17:43.210876,49543,NIFTY DEC 2025 FUT,25941.5,25944.9,3.4,108750,111750,478,537,0.9732,227.51,208.1,25915.54,25978.99,118,112
2025-12-29 14:17:43.410014,49543,NIFTY DEC 2025 FUT,25941.5,25943.0,1.5,109050,111375,482,532,0.9791,226.24,209.35,25915.34,25978.84,116,112
2025-12-29 14:17:43.809230,49543,NIFTY DEC 2025 FUT,25941.5,25943.0,1.5,109575,111600,484,535,0.9819,226.39,208.6,25915.86,25978.88,118,111
2025-12-29 14:17:44.010714,49543,NIFTY DEC 2025 FUT,25941.5,25943.0,1.5,109875,111450,487,534,0.9859,225.62,208.71,25915.83,25978.87,117,112
2025-12-29 14:17:44.209309,49543,NIFTY DEC 2025 FUT,25941.5,25943.0,1.5,110775,110250,498,528,1.0048,222.44,208.81,25915.61,25979.33,114,114
2025-12-29 14:17:44.409285,49543,NIFTY DEC 2025 FUT,25941.5,25943.0,1.5,111000,115275,501,544,0.9629,221.56,211.9,25915.51,25981.02,112,118
2025-12-29 14:17:44.610497,49543,NIFTY DEC 2025 FUT,25941.5,25943.0,1.5,110775,114750,498,539,0.9654,222.44,212.89,25915.65,25981.2,114,119
2025-12-29 14:17:45.010119,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,111525,114600,504,550,0.9732,221.28,208.36,25915.81,25982.1,111,114
2025-12-29 14:17:45.209967,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,111375,113475,502,535,0.9815,221.86,212.1,25915.83,25981.66,112,117
2025-12-29 14:17:45.409372,49543,NIFTY DEC 2025 FUT,25941.0,25945.0,4.0,111225,113775,500,535,0.9776,222.45,212.66,25915.89,25981.57,113,117
