time,type,ltp,volume,oi,ltq,atp,total_buy_qty,total_sell_qty,open,high,low,close,bid_price_1,bid_qty_1,bid_orders_1,ask_price_1,ask_qty_1,ask_orders_1,bid_price_2,bid_qty_2,ask_price_2,ask_qty_2,bid_price_3,bid_qty_3,ask_price_3,ask_qty_3,bid_price_4,bid_qty_4,ask_price_4,ask_qty_4,bid_price_5,bid_qty_5,ask_price_5,ask_qty_5
2025-12-29 12:47:25.401620,full,25978.5,3335625,11154825,75,26024.080078125,292950,424275,26080.0,26100.19921875,25972.400390625,26060.19921875,25976.099609375,75,1,25979.099609375,75,1,25976.0,75,25980.0,375,25975.0,825,25981.0,75,25974.599609375,150,25981.599609375,600,25974.400390625,75,25981.69921875,675
2025-12-29 12:47:26.105787,full,25978.5,3335625,11154825,75,26024.080078125,295650,423075,26080.0,26100.19921875,25972.400390625,26060.19921875,25976.099609375,75,1,25979.099609375,75,1,25976.0,75,25980.0,375,25975.0,825,25980.900390625,600,25974.599609375,150,25981.0,75,25974.400390625,75,25981.599609375,600
2025-12-29 12:47:27.209811,full,25978.5,3335625,11154825,75,26024.080078125,295125,423300,26080.0,26100.19921875,25972.400390625,26060.19921875,25976.099609375,150,2,25979.099609375,75,1,25976.0,75,25980.0,375,25975.0,1125,25980.900390625,600,25974.599609375,150,25981.0,75,25974.400390625,75,25981.599609375,600
2025-12-29 12:47:27.720690,full,25978.5,3335625,11154825,75,26024.080078125,296100,422775,26080.0,26100.19921875,25972.400390625,26060.19921875,25976.099609375,150,2,25979.099609375,75,1,25976.0,75,25980.0,375,25975.0,1125,25981.0,75,25974.599609375,150,25981.599609375,600,25974.5,150,25981.69921875,675
2025-12-29 12:47:28.810225,full,25976.19921875,3335775,11154825,75,26024.080078125,298050,422100,26080.0,26100.19921875,25972.400390625,26060.19921875,25976.0,75,1,25977.900390625,75,1,25975.0,1125,25980.0,375,25974.900390625,300,25981.0,75,25974.69921875,525,25981.69921875,600,25974.599609375,525,25981.80078125,675
2025-12-29 12:47:29.320512,full,25976.0,3335850,11154825,75,26024.080078125,293025,423075,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,1125,3,25977.19921875,75,1,25974.69921875,375,25980.0,375,25974.599609375,150,25980.599609375,75,25974.5,450,25980.900390625,600,25974.400390625,375,25981.0,75
2025-12-29 12:47:30.417574,full,25978.30078125,3336450,11154825,75,26024.0703125,268950,422925,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,150,2,25980.0,600,5,25975.0,1125,25980.5,600,25974.599609375,150,25980.599609375,75,25974.400390625,75,25980.900390625,600,25974.19921875,450,25981.0,75
2025-12-29 12:47:30.922419,full,25975.099609375,3336525,11154825,75,26024.0703125,288000,422700,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,75,1,25979.599609375,75,1,25975.0,1125,25980.0,375,25974.599609375,150,25980.900390625,600,25974.400390625,75,25981.0,75,25974.19921875,450,25981.099609375,600
2025-12-29 12:47:32.218076,full,25975.099609375,3336600,11154825,75,26024.0703125,295800,421500,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,1125,3,25976.900390625,75,1,25974.599609375,150,25979.599609375,75,25974.400390625,300,25980.0,450,25974.19921875,450,25980.900390625,600,25974.099609375,900,25981.0,75
2025-12-29 12:47:32.723716,full,25975.099609375,3336600,11154825,75,26024.0703125,298125,422325,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,1125,3,25976.900390625,75,1,25974.599609375,150,25979.599609375,75,25974.30078125,300,25980.0,450,25974.19921875,450,25980.900390625,600,25974.099609375,675,25981.0,75
2025-12-29 12:47:33.822796,full,25975.099609375,3336600,11154825,75,26024.0703125,301725,419550,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,1125,3,25976.900390625,75,1,25974.69921875,300,25979.599609375,75,25974.599609375,150,25980.0,450,25974.5,150,25980.900390625,600,25974.400390625,300,25981.0,75
2025-12-29 12:47:34.328898,full,25975.099609375,3336600,11154825,75,26024.0703125,301350,420375,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,1125,3,25976.900390625,75,1,25974.69921875,300,25979.599609375,75,25974.599609375,150,25980.0,450,25974.5,150,25980.900390625,600,25974.400390625,375,25981.0,75
2025-12-29 12:47:35.426118,full,25975.0,3336825,11154825,75,26024.060546875,301950,420600,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,75,1,25979.599609375,75,1,25975.0,1125,25980.0,450,25974.599609375,525,25980.900390625,600,25974.5,375,25981.0,75,25974.400390625,750,25981.599609375,600
2025-12-29 12:47:35.931683,full,25975.0,3336825,11154825,75,26024.060546875,302550,420750,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,75,1,25979.599609375,75,1,25975.0,1125,25980.0,450,25974.80078125,375,25980.900390625,600,25974.599609375,525,25981.0,75,25974.5,1050,25981.69921875,600
2025-12-29 12:47:37.232517,full,25979.599609375,3337050,11154825,75,26024.060546875,303525,420825,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,1050,3,25979.599609375,75,1,25974.80078125,525,25980.0,450,25974.69921875,225,25980.900390625,600,25974.599609375,750,25981.0,75,25974.5,1125,25981.80078125,600
2025-12-29 12:47:37.528630,full,25979.599609375,3337050,11154825,75,26024.060546875,303150,420375,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,1050,3,25979.599609375,75,1,25974.80078125,525,25980.0,450,25974.69921875,225,25980.900390625,600,25974.599609375,750,25981.0,75,25974.5,1125,25981.80078125,600
2025-12-29 12:47:38.820461,full,25979.599609375,3337125,11154825,75,26024.060546875,302775,420825,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,900,2,25980.0,450,3,25974.900390625,150,25980.900390625,600,25974.80078125,525,25981.0,75,25974.69921875,525,25981.80078125,600,25974.599609375,1275,25981.900390625,375
2025-12-29 12:47:39.321198,full,25975.0,3337200,11154825,75,26024.060546875,302475,420525,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.0,900,3,25980.0,450,3,25974.900390625,150,25980.900390625,600,25974.80078125,450,25981.0,75,25974.69921875,225,25981.80078125,600,25974.599609375,1875,25981.900390625,375
2025-12-29 12:47:40.428849,full,25980.0,3337275,11154825,75,26024.060546875,294750,423600,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,300,1,25980.0,375,2,25975.0,600,25980.900390625,600,25974.69921875,75,25981.0,75,25974.599609375,675,25981.80078125,600,25974.5,1200,25981.900390625,375
2025-12-29 12:47:40.936904,full,25980.0,3337275,11154825,75,26024.060546875,298650,423600,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,300,1,25980.0,375,2,25975.0,600,25980.900390625,600,25974.599609375,900,25981.0,75,25974.5,1125,25981.80078125,600,25974.400390625,1500,25981.900390625,375
2025-12-29 12:47:42.028299,full,25980.0,3337275,11154825,75,26024.060546875,300375,423600,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,300,1,25977.19921875,75,1,25975.0,600,25980.0,375,25974.69921875,300,25980.900390625,600,25974.599609375,900,25981.0,75,25974.5,1275,25981.80078125,600
2025-12-29 12:47:42.540916,full,25980.0,3337275,11154825,75,26024.060546875,299850,423750,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,375,2,25977.30078125,75,1,25975.0,600,25980.0,375,25974.69921875,300,25980.900390625,600,25974.599609375,900,25981.0,75,25974.5,1275,25981.80078125,600
2025-12-29 12:47:43.836831,full,25977.30078125,3337500,11154825,75,26024.05078125,300300,423225,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,375,2,25977.599609375,75,1,25975.0,675,25980.0,375,25974.900390625,300,25980.900390625,600,25974.69921875,150,25981.0,75,25974.599609375,1275,25981.80078125,600
2025-12-29 12:47:44.334794,full,25977.30078125,3337500,11154825,75,26024.05078125,298575,423600,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,375,2,25977.19921875,75,1,25975.0,675,25980.0,375,25974.80078125,300,25980.900390625,600,25974.69921875,75,25981.0,75,25974.599609375,675,25981.80078125,600
2025-12-29 12:47:45.433845,full,25975.099609375,3337800,11154825,300,26024.05078125,299325,420750,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,75,1,25977.19921875,75,1,25975.0,675,25980.0,525,25974.900390625,300,25980.900390625,600,25974.69921875,450,25981.0,75,25974.599609375,750,25981.80078125,600
2025-12-29 12:47:45.935488,full,25975.099609375,3337800,11154825,300,26024.05078125,298800,420450,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.099609375,75,1,25977.19921875,75,1,25975.0,675,25979.900390625,75,25974.900390625,300,25980.0,525,25974.69921875,525,25980.900390625,600,25974.599609375,675,25981.0,75
2025-12-29 12:47:47.042428,full,25977.19921875,3337950,11154825,75,26024.05078125,309075,420300,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,150,1,25979.900390625,75,1,25975.099609375,375,25980.0,675,25975.0,675,25981.0,75,25974.900390625,150,25981.80078125,600,25974.80078125,300,25981.900390625,675
2025-12-29 12:47:47.534469,full,25977.19921875,3337950,11154825,75,26024.05078125,308250,420300,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,150,1,25979.900390625,75,1,25975.099609375,375,25980.0,675,25975.0,675,25980.900390625,600,25974.80078125,150,25981.0,75,25974.69921875,1575,25981.80078125,600
2025-12-29 12:47:48.834782,full,25977.19921875,3337950,11154825,75,26024.05078125,307275,419925,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,150,1,25979.900390625,75,1,25975.099609375,375,25980.0,675,25975.0,675,25980.900390625,600,25974.80078125,75,25981.0,75,25974.69921875,900,25981.80078125,600
2025-12-29 12:47:49.335875,full,25977.19921875,3337950,11154825,75,26024.05078125,307275,419850,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,150,1,25979.900390625,75,1,25975.099609375,375,25980.0,675,25975.0,675,25980.900390625,600,25974.80078125,75,25981.0,75,25974.69921875,900,25981.80078125,600
2025-12-29 12:47:50.443826,full,25977.19921875,3337950,11154825,75,26024.05078125,307425,420000,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,300,2,25979.900390625,75,1,25975.099609375,375,25980.0,675,25975.0,675,25980.900390625,600,25974.80078125,450,25981.0,75,25974.69921875,1200,25981.80078125,600
2025-12-29 12:47:50.946069,full,25977.19921875,3337950,11154825,75,26024.05078125,308025,420000,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,300,2,25979.80078125,75,1,25975.099609375,375,25980.0,675,25975.0,675,25981.0,75,25974.900390625,150,25981.80078125,600,25974.80078125,525,25981.900390625,675
2025-12-29 12:47:52.047235,full,25980.0,3338100,11154825,75,26024.05078125,298650,419850,26080.0,26100.19921875,25972.400390625,26060.19921875,25975.30078125,300,2,25979.80078125,75,1,25975.099609375,375,25980.0,600,25975.0,825,25980.900390625,600,25974.900390625,225,25981.0,75,25974.80078125,375,25981.80078125,600
